BEGIN
SET
    date    |                    event                     |         city          | site |    team     |  e_p  |       opponent       |  e_p  |  e_d   
------------+----------------------------------------------+-----------------------+------+-------------+-------+----------------------+-------+--------
 2026-02-21 | Rugby Europe International Championship 2026 | Mons                  | home | Belgium     | 27.46 | Germany              | 13.24 |  14.22
 2026-02-21 | Rugby Europe International Championship 2026 | Tbilisi               | home | Georgia     | 36.19 | Spain                | 15.06 |  21.13
 2026-02-21 | Six Nations 2026                             | London                | home | England     | 20.45 | Ireland              | 19.52 |   0.94
 2026-02-21 | Six Nations 2026                             | Cardiff               | home | Wales       | 16.02 | Scotland             | 28.45 | -12.43
 2026-02-22 | Rugby Europe International Championship 2026 | Lisbon                | home | Portugal    | 35.40 | Romania              | 18.61 |  16.79
 2026-02-22 | Rugby Europe International Championship 2026 | Yverdon-les-Bains     | home | Switzerland | 13.25 | Netherlands          | 44.36 | -31.11
 2026-02-22 | Six Nations 2026                             | Villeneuve-d'Ascq     | home | France      | 42.01 | Italy                | 15.98 |  26.03
 2026-02-28 | Rugby Europe Trophy 2026                     | Croatia?              | home | Croatia     | 16.84 | Poland               | 38.53 | -21.69
 2026-02-28 | Rugby Europe Trophy 2026                     | Prague                | home | Czechia     | 47.19 | Lithuania            | 13.31 |  33.88
 2026-03-06 | Six Nations 2026                             | Dublin                | home | Ireland     | 36.54 | Wales                | 11.28 |  25.26
 2026-03-07 | Rugby Europe Trophy 2026                     | Siauliai              | home | Lithuania   | 23.92 | Croatia              | 31.08 |  -7.16
 2026-03-07 | Six Nations 2026                             | Roma                  | home | Italy       | 17.03 | England              | 30.13 | -13.10
 2026-03-07 | Six Nations 2026                             | Edinburgh             | home | Scotland    | 20.88 | France               | 27.64 |  -6.76
 2026-03-14 | Rugby Europe Conference 2026                 | Limassol              | home | Cyprus      | 17.75 | Andorra              | 25.83 |  -8.08
 2026-03-14 | Six Nations 2026                             | Saint-Denis           | home | France      | 26.83 | England              | 20.51 |   6.33
 2026-03-14 | Six Nations 2026                             | Dublin                | home | Ireland     | 25.93 | Scotland             | 16.15 |   9.78
 2026-03-14 | Six Nations 2026                             | Cardiff               | home | Wales       | 21.43 | Italy                | 24.72 |  -3.29
 2026-04-04 | Rugby Europe Conference 2026                 | Andorra?              | home | Andorra     | 12.99 | Malta                | 13.06 |  -0.08
 2026-04-04 | Rugby Europe Conference 2026                 | Budapest              | home | Hungary     | 13.16 | Austria              | 33.06 | -19.90
 2026-04-04 | Rugby Europe Conference 2026                 | Moldova, Republic of? | home | Moldova     | 27.52 | Turkey               | 10.37 |  17.15
 2026-04-04 | Rugby Europe Trophy 2026                     | Trelleborg            | home | Sweden      | 37.22 | Denmark              | 12.15 |  25.07
 2026-04-11 | Rugby Europe Conference 2026                 | Latvia?               | home | Latvia      | 98.45 | Estonia              |  1.68 |  96.78
 2026-04-11 | Rugby Europe Conference 2026                 | Malta?                | home | Malta       | 14.07 | Israel               | 12.52 |   1.55
 2026-04-11 | Rugby Europe Conference 2026                 | Ukraine?              | home | Ukraine     | 30.68 | Moldova              |  9.48 |  21.20
 2026-04-11 | Rugby Europe Trophy 2026                     | Denmark?              | home | Denmark     | 13.62 | Czechia              | 36.39 | -22.77
 2026-04-11 | Rugby Europe Trophy 2026                     | Poland?               | home | Poland      | 28.02 | Sweden               | 17.85 |  10.16
 2026-04-18 | Rugby Europe Conference 2026                 | Kosovo?               | home | Kosovo      |  9.24 | Bosnia & Herzegovina | 49.43 | -40.20
 2026-04-18 | Rugby Europe Conference 2026                 | Luxembourg            | home | Luxembourg  | 22.80 | Latvia               | 15.02 |   7.79
 2026-04-18 | Rugby Europe Conference 2026                 | Norway?               | home | Norway      |  7.82 | Finland              | 39.13 | -31.30
 2026-04-18 | Rugby Europe Conference 2026                 | Serbia?               | home | Serbia      | 37.69 | Slovenia             | 16.70 |  21.00
 2026-04-18 | Rugby Europe Conference 2026                 | Slovakia?             | home | Slovakia    | 14.85 | Hungary              | 49.92 | -35.06
 2026-04-18 | Rugby Europe Conference 2026                 | Ukraine?              | home | Ukraine     | 64.74 | Bulgaria             |  9.05 |  55.68
 2026-04-25 | Rugby Europe Conference 2026                 | Sofia                 | home | Bulgaria    | 13.93 | Moldova              | 27.09 | -13.16
 2026-04-25 |                                              | Sofia                 | home | Bulgaria    | 13.93 | Moldova              | 27.09 | -13.16
 2026-05-02 | Rugby Europe Conference 2026                 | Estonia?              | home | Estonia     |  4.24 | Norway               | 31.37 | -27.12
 2026-05-02 | Rugby Europe Conference 2026                 | Montenegro?           | home | Montenegro  | 34.24 | Kosovo               | 11.47 |  22.77
 2026-05-09 | Rugby Europe Conference 2026                 | Austria?              | home | Austria     | 32.91 | Serbia               | 14.14 |  18.77
 2026-05-09 | Rugby Europe Conference 2026                 | Finland?              | home | Finland     | 16.02 | Luxembourg           | 20.48 |  -4.45
 2026-05-09 | Rugby Europe Conference 2026                 | Israel?               | home | Israel      | 32.13 | Cyprus               | 14.83 |  17.30
(39 rows)

COPY 39
COMMIT
